source,biopolymer_type,material_composition,ha_wt_pct,pore_size_um,porosity_pct,printing_method,layer_thickness_um,density_g_cm3,compressive_strength_MPa,elastic_modulus_MPa,degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score,data_provenance
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA,PLA,0,412.5,41.5,SLA,142.05,0.725,26.9,1118.4,1.26,55.15,59.56,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan,Chitosan,0,699.56,33.04,FDM,350.81,0.938,21.19,1517.4,1.556,45.37,36.13,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA,PLGA,0,81.34,39.88,salt leaching,217.13,0.806,24.68,676.4,3.439,59.28,48.69,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA,PLGA,0,214.97,41.39,electrospinning,117.54,0.785,24.1,695.6,2.826,62.7,57.98,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan,Chitosan,0,394.85,33.41,FDM,355.4,0.932,20.02,1368.1,1.597,52.5,62.12,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (20wt% HA),20,464.02,65.67,freeze drying,225.77,0.531,17.49,2201.2,0.24,78.26,57.99,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA/HA,PGA/HA (15wt% HA),15,480.21,37.85,FDM,237.17,1.102,66.01,5426.4,6.485,46.8,25.56,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (10wt% HA),10,296.39,37.95,SLA,120.64,0.977,26.98,4328.8,1.968,64.65,55.22,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (20wt% HA),20,586.6,30.47,electrospinning,189.81,1.189,43.9,7718.3,4.611,57.73,27.18,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (10wt% HA),10,210.59,46.91,electrospinning,202.86,0.714,23.73,2744.9,0.233,74.37,52.2,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA/HA,PLA/HA (30wt% HA),30,251.54,55.41,SLA,101.06,0.808,37.46,6095.1,1.181,67.47,51.25,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA,PLA,0,627.53,34.51,freeze drying,371.18,0.812,33.09,1292.0,1.068,51.9,31.33,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA,PGA,0,210.25,83.94,FDM,174.86,0.246,6.55,86.4,10.608,73.82,75.13,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL,PCL,0,582.68,88.57,FDM,364.42,0.131,1.74,4.7,0.355,55.23,44.04,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin,Gelatin,0,568.17,46.01,FDM,132.43,0.729,3.64,48.4,6.36,53.96,42.74,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL,PCL,0,199.74,31.42,FDM,198.48,0.785,21.21,214.5,0.222,55.59,61.18,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (10wt% HA),10,151.51,86.35,SLA,391.12,0.215,3.55,223.1,2.202,65.53,74.95,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA/HA,PGA/HA (15wt% HA),15,397.08,66.37,freeze drying,215.56,0.596,21.89,1689.8,7.82,74.32,61.18,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (30wt% HA),30,536.96,86.42,salt leaching,159.11,0.257,5.1,435.6,7.133,62.49,70.84,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (10wt% HA),10,493.47,60.43,electrospinning,197.85,0.605,8.62,1342.8,6.282,75.77,63.72,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (20wt% HA),20,331.77,64.15,SLS,350.12,0.554,19.34,2204.5,0.262,70.98,61.15,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA/HA,PLGA/HA (30wt% HA),30,373.38,42.82,electrospinning,370.35,1.077,47.31,8364.8,2.917,67.11,47.26,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (30wt% HA),30,580.07,48.63,FDM,144.21,0.897,43.13,6649.1,0.24,49.3,30.91,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (20wt% HA),20,511.74,41.67,SLA,248.31,0.998,32.0,5514.0,6.134,60.25,35.75,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA,PLGA,0,673.94,40.55,FDM,255.39,0.797,25.79,719.0,2.868,40.97,43.07,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (20wt% HA),20,669.02,65.73,freeze drying,367.43,0.6,19.73,2622.7,2.158,74.57,57.39,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (30wt% HA),30,359.04,81.69,electrospinning,325.53,0.32,10.02,853.5,0.274,68.73,73.45,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (10wt% HA),10,288.23,44.07,FDM,367.91,0.856,15.0,2547.6,5.987,70.43,43.24,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA/HA,PLGA/HA (10wt% HA),10,337.78,62.56,salt leaching,162.05,0.57,18.57,1464.0,4.192,61.58,68.04,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (15wt% HA),15,664.5,58.62,salt leaching,189.58,0.688,22.61,3039.8,2.055,64.85,52.59,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan,Chitosan,0,249.22,59.29,salt leaching,245.69,0.57,9.58,472.7,2.087,66.43,81.28,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL/HA,PCL/HA (20wt% HA),20,642.3,62.05,electrospinning,277.57,0.587,22.43,2264.4,0.225,59.6,38.39,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA/HA,PLGA/HA (10wt% HA),10,282.64,42.7,salt leaching,328.37,0.872,36.93,3310.1,3.089,71.71,50.18,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (20wt% HA),20,670.19,33.13,FDM,167.27,1.144,38.88,8787.4,5.474,54.23,18.71,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA/HA,PLA/HA (20wt% HA),20,158.26,39.14,freeze drying,300.84,0.987,52.61,8738.2,0.934,62.72,37.19,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (30wt% HA),30,587.97,36.87,FDM,389.42,1.193,54.91,11056.7,5.327,58.93,22.54,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin,Gelatin,0,508.18,34.56,FDM,288.17,0.883,4.98,68.0,5.55,58.22,56.99,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan,Chitosan,0,345.59,50.83,freeze drying,211.17,0.688,10.3,757.3,1.965,74.61,77.06,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA/HA,PGA/HA (30wt% HA),30,365.04,83.49,SLA,145.9,0.333,12.23,858.6,7.791,71.06,67.88,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA/HA,PLGA/HA (15wt% HA),15,533.24,56.13,SLA,180.52,0.707,22.27,3215.0,3.847,51.09,45.92,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (30wt% HA),30,97.79,52.74,SLA,355.29,0.91,35.58,6475.4,1.839,56.32,45.38,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA/HA,PGA/HA (20wt% HA),20,667.8,30.61,electrospinning,125.68,1.287,82.26,9734.3,5.375,45.33,16.05,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA,PLGA,0,217.39,35.58,SLS,307.54,0.863,24.83,870.7,3.146,49.73,57.67,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (10wt% HA),10,361.32,51.11,SLA,191.99,0.77,19.09,2478.5,1.77,66.01,68.77,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PCL,PCL,0,380.2,42.98,freeze drying,317.38,0.653,19.7,133.8,0.26,65.04,61.22,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA,PGA,0,158.48,72.48,FDM,113.65,0.421,15.29,269.3,7.857,71.0,64.97,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA/HA,PLA/HA (20wt% HA),20,376.8,47.06,FDM,202.21,0.859,47.82,5396.5,0.953,56.08,45.87,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (30wt% HA),30,174.07,71.19,SLS,343.34,0.555,16.37,2115.2,2.308,65.51,68.62,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan,Chitosan,0,315.83,76.54,SLS,372.55,0.328,4.56,182.9,2.283,70.79,94.88,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin,Gelatin,0,208.83,86.86,electrospinning,163.31,0.177,0.44,2.3,7.89,63.4,34.84,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (20wt% HA),20,100.24,58.19,SLS,186.43,0.715,18.13,3359.6,6.618,67.25,45.85,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (20wt% HA),20,658.87,69.67,freeze drying,227.54,0.519,10.16,1529.2,6.327,59.96,44.15,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PGA/HA,PGA/HA (20wt% HA),20,432.91,74.94,FDM,186.58,0.465,16.53,1294.2,8.034,61.37,58.89,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA,PLGA,0,631.44,65.88,freeze drying,320.36,0.457,8.74,215.4,4.491,68.97,70.44,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLA/HA,PLA/HA (30wt% HA),30,437.27,79.29,SLA,328.93,0.376,13.36,1252.5,1.466,59.12,75.0,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Gelatin/HA,Gelatin/HA (15wt% HA),15,371.41,88.14,SLS,222.5,0.192,2.42,201.4,7.32,69.01,63.15,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,PLGA/HA,PLGA/HA (20wt% HA),20,134.6,32.2,FDM,175.72,1.154,54.22,10280.1,2.774,61.48,38.21,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
SYNTHETIC_GIBSON_ASHBY_PLUS_HEURISTIC,Chitosan/HA,Chitosan/HA (15wt% HA),15,196.3,54.79,salt leaching,208.53,0.752,24.49,3403.2,1.864,72.51,64.98,"compressive_strength_MPa,elastic_modulus_MPa=physics(Gibson-Ashby); degradation_rate_pct_per_week,cell_viability_pct,bone_regeneration_score=heuristic_literature_informed"
